type,lat,lon
2,-34.91720,-58.37650
2,-34.75185,-58.23468
2,-34.55061,-58.53978
2,-34.56927,-58.61749
2,-34.55635,-58.57222
5,-34.52446,-58.76380
2,-34.78349,-58.31690
2,-34.59181,-58.63661
2,-34.61266,-58.71154
2,-34.65003,-58.67006
2,-34.95464,-57.95384
2,-34.84141,-58.44932
2,-34.64889,-58.61897
2,-34.78406,-58.17424
2,-34.57262,-58.52803
2,-34.54705,-58.46968
2,-34.67680,-58.56120
2,-34.56310,-58.44200
2,-34.44790,-58.60130
2,-34.62731,-58.53636
2,-34.68953,-58.76592
2,-34.47200,-58.51520
2,-34.52300,-58.47430
2,-34.53031,-58.52378
2,-34.72406,-58.36713
2,-34.85521,-57.91295
2,-34.53921,-58.57876
2,-34.62086,-58.41536
2,-34.72596,-58.79072
2,-34.48410,-58.50335
2,-34.69391,-58.48462
2,-34.52853,-58.52035
2,-34.66900,-58.35514
2,-34.16164,-58.96008
2,-34.75645,-58.43056
2,-34.76864,-58.22219
2,-34.82676,-58.22606
2,-34.48717,-58.72609
2,-34.56232,-58.54097
2,-34.59223,-58.75250
2,-34.77016,-58.31811
2,-34.64576,-58.45086
2,-34.60417,-58.95015
2,-34.82371,-58.43460
2,-34.93289,-57.95425
2,-34.66354,-58.73211
2,-34.60995,-58.93981
2,-34.54544,-58.70757
2,-34.55956,-58.45864
2,-34.67195,-58.38912
2,-34.51202,-58.56725
2,-34.47985,-58.50736
2,-34.63414,-58.39051
2,-34.70118,-58.31448
2,-34.97452,-58.07557
2,-34.61044,-58.96519
2,-34.76335,-58.20955
2,-34.44970,-58.65430
2,-34.78017,-58.83037
2,-34.67084,-58.60558
2,-34.53604,-58.47711
2,-34.80927,-58.25575
2,-34.64260,-58.42254
2,-34.57743,-58.42235
2,-34.60948,-58.42473
2,-34.65624,-58.60526
2,-34.49390,-58.72065
2,-34.95442,-57.96600
2,-34.73517,-58.39847
2,-34.44053,-58.55534
2,-34.62665,-58.70516
2,-34.54897,-58.52923
2,-34.74788,-58.35783
2,-34.92057,-57.99694
2,-34.68370,-58.52670
2,-34.48460,-58.72140
2,-34.81905,-58.34309
2,-34.69790,-58.68769
2,-34.61840,-58.54490
2,-34.56075,-58.52344
2,-34.75752,-58.41366
2,-34.60238,-58.43011
2,-34.74172,-58.42237
2,-34.65259,-58.53125
2,-34.44429,-58.78729
2,-34.89714,-57.97955
2,-34.65426,-58.72283
2,-34.45310,-58.53871
2,-34.52046,-58.55867
2,-34.60394,-58.47187
2,-34.66531,-58.70074
2,-34.45308,-58.79947
2,-34.53611,-58.47702
2,-34.60189,-58.46865
2,-34.60036,-58.53292
